"pagina","texto","error"
21,"GVAL MÉS MATINETJAR QUE A MISSA ANARP ll
un banyam que feia teredat: dues banyotes just
dentals d' arada amb una mala fí de banyons ben
enrévisclats, lo meteix d'una figuera sensa fuies.
Antes d' arribar d' un bon tros ja pega crit:

—iBon vespre, senyor SatanúsIi

—iOla, estornelll diu aquest. eQue mos dus de
nou

—iVaja si duci eSabeu sa fia del Rei2

—éAquella grandolaça que ja corre 's vint anys
i encara no l hem poguda ginyar mai a deixar es
gonellons de sa mareP

——Sí, aquella gran noninguna, que així meteix
li agrada un devertiment, però sensa anutjar es
nostro inimic. l jitigurauvos quins devertiments
han de sortirl Tan saborosos com fava parada
freda, i sa ganancia que noltros e-hi porem ter, per
bé que mos espirrem, es com sa de Na Peix-írit,
que hi posava s'oli, i el venia -an es meteix preu
que cruu. Idò an aquesta polissona m' he sabut en-
ginyar per posarli unes erbes maleites dins un po-
tet de confitura que avui cap-vespre s' ha menjada.
Encara no l' ha tenguda dins el cos, quant ja s' ha
sentides unes torçors, es metges han acudit, i ven-
guen receptes i medicines, però cap li ha donat
gens de posa ni conhort. De manera que, llevat
de desgracies, n' hi queda poca de vida: aviat ba-
trà 's peus, i com el Rei i la Reina no tenen altra
cosa, i ja son tan veis, i dins quatre dies també
seràn morts, no en cantaràn pus galls ni gallines
d'aquesta mala niÇaga, que no mos ha duit més
que pèrdues: entrarà un altre rei, i per ventura no
mos farà batre tant per ses foranes a noltros i an
es de la nostra.

—iSí que mos diu en popal jsí que mos va bél

' ""JE
",NA
22,"12 RONDAIES MALLORQUINES
juival juival cridaren tots: i armaren un rebumbori
que no hi havía qui s'hi oís, fins que'l dimoni
gros tornà rompre:

—iCallau dic, males bestiesi que ""m feis anar es
cap entorn.

—el que no la curaràn a sa fia del Reis diu un
dimonió. ,

—iQue han de curar, homol diu es banyarrut.
iBons estàn es metges per afinar sa medicinal jSi
no li donen un tassó de llet de lleona, no se 'n es-
capal

—el hauràn d'anar a fora Mallorca a cercar sa
lleona2

—No importa anar-hi, en tenen una que alleta
dins una gabia des jardí.

—No res, diu es gros an es banyarrut: així me-
teix t has guanyat es pa avuy, però mira quina
hora t' ho dic: si se cura sa fia del Rei, an aquest
banyam que passetges el t hem de xarrocar, amb
un verduc de serrar soques, mentres te 'n vegen
es gruix d'una ungla:... imal t hàgem d' arribar
en es cervelll

Donades, aquestes comendassions, se gira an
els altres, i diu:

—No res, ja torna esser hora de començar es
jornal. iArruix totsl ifora vessa, fora Son, i bona
feinal i jalerta mosquesi

Es dimonis s' espitxaren, i aviat ja no 'n veren
la pols.

En Xesc no los havía perduda cap paraula. Sor-
tí, així com pogué, de devall sa campana, i ja li
ha copat cap a Felanitx.

Troba's poble alt, no hi havía qui S'hi oís,
tothom demanava aigo. Es nins la demanaven
",NA
23,"GVAL MÉS MATINETJAR QUE A MISSA ANARP 13
plorant, ses dones giscant, els homos cridant, es
moixos meulant, es porcs gronyint, es cans grinyo-
lant a la descosida i els ases i someres amb uns
brams que resplandíen dins es cervell.

Es bal'le i tota la Justicia estaven devora sa font
tirant junta, i qui manco hi sabía, més e-hi deia.

Tot-amb-u s' hi presenta En Xesc, i diu:

—ecQue 'm voleu dar, i la vos desembossarér

—lI éhu deis de bo2 clamaren tots a la una.

—lI tan de bo: que ""m tirin d' una passa Si no la
desembós, mentres me dugueu lo que s ha mester.

—Demanau, germanet, clamà tothom, i sa vos-
tra boca serà mesura.

—No res, per ara duis-me un vell de llana negre
i un ribellet amb aigo.

Le hi duen. Muia es vell dins s' aigo ben muiat,
i ja es partit renta qui renta s' ui de sa font amb
so vell, i no se donava raó a ses mans muia qui
muia i renta qui renta. Al punt s' ui de sa font co-
mensa a satinyar, aviat vengué un ratjolí com un
fideu, es fideu tornà dit, es dit tornà braç, es braç
tornà cuixa. Sa font estava desembossada de tot:
mai havía donada tanta d' aigo.

Es telanitxers cuidaren a tornar locos de s' ale-
gría, i amb un poc més en tan una coca d'En Xesc,
perque tots s' hi abordaren, tots li volíen dar una
aterrada p' es coll. El passetjaren demunt ses es-
pal'les per tota la vila.

Li varen dar més doblers que no volgué, li om-
pliren ses butxaques i es pits de realets de plata,
pessetes de set sous i mig, durets d'or, dobletes
de sis lliures i de dotze, i dobles de vint.

Volíen que estigués vuit dies amb ells, però En
Xesc va dir que allà ont tenía ses feines, era a
Ciutat.

/ Pd
",NA
24,"14 RONDAIES MALLORQUINES

S' hi esquitxa més que de pressa demunt un ca-
vall, i li dona de quatres tot lo camí.

E-hi arriba una hora es sol post, se presenta a
ca 'l Rei, i troba la Princesa a ses derreres de tot.

Se 'n va a la Reina, i li diu:

—Jo sé sa medicina per curar sa seua tia.

—el hu dius de boP exclama la Reina, obrint uns
Uis com uns platets.

l —Es coll e-hi va si l engàn.

—jA veure aont es aquesta medicinal jiDe-
pressal :

—Que vagen a monyir sa lleona que tenen dins
una gabia des jardí, i que li treguen un tassó de
llet.

La hi treuen, En Xesc el presenta a la Princesa,
la Princesa el se cala, i queda més adormida que
un sauló, amb un alenar lo més natural.

eEQue me'n direu 2 Lo endemà estigué sana i
bona. l

Son pare, sa mare, ses dames, es pajes, es
criats, ses criades, tota la ciutat, com veren allò, .
cuidaren a tornar locos de s'alegría, i venguen
crits, i bots, i capells i barretines a l'aire, i xecali-
nes i escaravits.

Be n'hi donaren d'aterrades p'es coll an En
Xesc, el se cuidaren a menjar de xicotines.

El varen passetjar en triumt per tota la ciutat,
fins que '1 Rei el se 'n menà a sa tresoreria, el posa
devant un caramull de dobles de vint ben agúio-
nat, que parava es rol'lo d' un llençol, i li diu:

—Du-te'n totes ses que porós.

En Xesc n'omplí una taleca ben gran, i més
xelest quí una novía toca soletes cap a ca-seua.

Sa seua dona tot-d' una no el volía creure: no li
",NA
25,"GVAL MÉS MATINETJAR QUE A MISSA ANARP 15
cabía dins es cap que hagués sabut desembossar
sa font de Felanitx i curar la Princesa, i que fos de
bon just aquella doblerada escandalosa.

A la tí se dona per convençuda.

No vos dic res s' alegría que hi hagué dins l
aquella casa.

No n'hi havía tanta a ca-En Lau, que amb so
goig d' haver guanyades aquelles tres messions,
arribà a Sineu més inflat que un calàpet, ven ses
dues somades, i gira cap a Manacor, sensa repa-
rat a sa gran soleiada que queia. Volía arribar amb
sol a Manacor per que tothom sabés que tenía es
dos muls. Los hi arribà, però blancs de sabonera.
Un al'lot seu, sensa sebre que 's feia de s' alegría,
los abeura, i los entrà un mal de ventre tan ma-
leit, que no hi valgué menescal ni medicines: lo
endemà abans de s'auba estiraren es potons, i
s' escorxador los se n hagué de dur an es carnatge.

En Lau taiava claus, se pegava amb so cap per
ses parets, se pensava tornar boig.

Sab que En Xesc es vengut carregat de doblers,
i se 'n hi va a l'acte.

—iQue dimoni has fet, li diu, que vens amb
aquesta gran doblerada2

—Jo t' ho diré, respòn En Xesc, i li conta fil per
randa tot lo que li havía succeit.

Bona la hi va haver dita an En Lau.

—Ja hi vui jo anar, exclama s' aubarcoc, a ama-
gar-m'hi devall sa campana d' aquesta cova, a veu-
re si me diu tan bé com a tu, ji ara meteix que
me 'n hi vaigl

Ja ho crec que se 'n hi anà, i ben acanalat.

Com arribà a sa cova, ja feia tosqueta.

S' amagà devall sa campana, i allà espera qui
espera.

Ll
",NA
26,"16 RONDAIES MALLORQUINES

Devers les dotze sent trepig: fonch el dimoni
gros que s' entregava amb sa partida de dimonions
que li feien la cort. S' assegué demunt sa campana
i el ventaven amb ses sarries. l

. Començen a comparèixer dimonis i més dimo-

nis de ses quatre parts del mon a donar compte de
totes ses seues bel'landines, se presenten tot cap-
baixos, tot mostíis, aquell tan coarrut, es des nas-
sarrot i es des banyam terest.

Se veia a la llego que s' hauríen estimat més
un quern de garrotades que haver-se de presentar.

—iEi, grans polissonsi crida el dimoni gros ,fent
llamada. jEll anau sorrers fermi jell com mudau
un peu, S' altra ja ha posada rell iVaja, vaja, si 'm
donau compte de com teniu es vostros negocisi
iHala tu, que duies despuisanit sa coa tan enra-
vanada i ara ja t' arrossega, tu que envitricollares
allò des dos traginers, veam com e-hu tensi

—j Com e-hu he de tenirt respòn el pobre. Ma-
lament de tot. No sé que puga esser estat: es qui
deia que valía més matdinetjar que a missa anar,
ha perdut es coratge de tot perque es dos muls se
son morts, i es qui deia que valía més anar a mis-
sa, es tornat amb ses butxaques i una taleca ben
gran plefies d'or i plata. Aquest ja no té gens de
malicia, i aquell no més té enveja i llavò molta
rabia d'haver posades messions contra S' anar a
missa, i ara es capàç d' anar-hi més que s' altre.
- —dAixí va això2 diu el dimoni gros, i pega crit
an ets altres, i els-e diu:

—él encara no teniu aquí sa destral i es piló2

—iSenyor Satanàs, jo vos assegur que no se 's
perdut per mil ijCom som dimoni, que no s' hi es
perdutl deia aquell de sa cona tan llarga.
",NA
27,"GVAL MÉS MATINETJAR QUE A MISSA ANARP 17

—iNo m' empatx de raonsi diu es gros. iSa
destral dicHl ies piló dicl

Ja los teníen allà.

Una partida de dimonis amarren aquell malanat,
una altre partida li teníen sa coa demunt es piló,
un altre pren sa destral, tota plena d' osques, i
venga destralada i altre destralada, i cada pic
veien botir un tros de coa tot engrunat, i an
aquell que li escapaven uns remeulos que ""I de-
víen sentir de mitja hora lluny, però com més fort
brufava, més lulea li feien ets altres.

Sobre tot, n' hi donaren de destral an aquella
coa, fins que hi hagué gens de rabacell.

Llavò el dimoni gros se gira an es nassarrut,
que no treia fesomía tampoc, i ja li diu:

—iHala, cara de poca-cosal conta com tens lo
de Felanitx.

—iCom e-hu he de tenirl diu ell. Malament. La
m' han desembossada a sa font, i es poble ja torna
esser una bassa d' oli.

—iBé, homol jbél diu es gros. El t has gua-
nyat an es premi, i no hi haurà altra remei que
donar-lo 't.

Se gira an ets altres, i los diu, treguent toc
p' es caixals:

—el encara no li heu arrabaçat aquest serrum
que li surt p' ets arenellsP dencara no li heu abor-
dades ses tenaies devers es nas

—iSenyor Satanúsi deia aquell bramant, ijo li
assegur que no se's perdut per mi Si l han de-
sembossada a sa fontl

—ija 't conec, herbetal iperiol te diusi jHala,
voltros a ses serres, i voltros an es nasl diu es
gros a ses dues rol'lades que ets altres teien.

Tom liI—2
ds
",NA
28,"18 RONDAIES MALLORQUINES

l una partida ja me tenen agarrotat es nassa-
rrut, i una altre partida ja estàn abordats a ses se-
rres d' ets arenells, i tirada vé, tirada va, i a qual-
cuna que n' hi havíen de pegar quatre i Cinc, i
aquell ibons remeulos i bramulsi i ets altres que
hi feien una bulla escandalosa.

Com ja no 'n tengué cap, se 'n venen un parei
amb ses tenaies, les hi aborden devers es nassa-.— -
rrot, le hi estrenyen ben estret, i tirada vé i tirada
va, però unes tirades ben seques, sensa ànima, i
aquell malenat iflastomíes i remeulos a carretadesti
i no le hi poríen arrabaçar per cap vent del mon.
A la tí se'n hi pengen set, i enverguen tirada amb
tota sa força, i aquí es nassarrot se 'n anà de rel,
i el passetjaren estret amb ses tenaiotes per tota
sa rol'lada, movent un rebumbori horrorós.

No més faltava es des gran banyam, qui tremo-
lava com una fuia de poll, i estava més retgirat
que un coní.

—él tu, gran polissó2 li diu el dimoni, llançant
centelles p' ets uis. él que t' has figurat no haver-
me'n de donar de compteP jA veure com està sa
tía del Reil

An es banyarrut ses barres li havien pres es
trot, i no poría dir paraula.

—iQue éts tornat sort o has perdut es cantet,
gran noningú2 diu es gros. éCom està, dic, sa fía
del Rei

—iSana..... i..... bonal diu aquell, amb un tre-
molor terest, lo meteix d'un buscaret dins ses
arpes d' un capxerigany.

—El no deies tu que no la curaríenP exclama es
gros, enrabiat de tot.

—i No sé que dimoni puga esser estatl
",NA
29,"GVAL MÉS MATINETJAR QUE A MISSA ANARP 19

—ija hu sabrà es teu banyaml iVenga es ver-
ducl ide pressal

—iSenyor Satanàs, jo li assegur que he teta
s' obligaciól

—Sí, anau a comanar es ninxo, i e-hi posarem
aquest santet. iVaja, anau-hi a l'actel... però no
res: jes verduc lo primer de totl

OO Duen es verduc de serrar soques, amb unes
dents d'un dit i mig, ben entrescades. Una par-
tida m' agarroten aquell p' es cap, de manera que
no se pogués estamanetjar gaire, s' aterren una
altre partida a cada cap de verduc, i ja son partits l
a Xarrocar banyons i més banyons. l vos assegur
que s' hi miraven ben poc a no ter-li mal: perque
es verduc no taiava casi gens, i allò no se poría i
dir serrar banyons, sino fer-los botir a llenques.
Com ja no hi hagué pus banyons, pegaren a ses
banyotes mestres, i aquí foren ses bones. Es
trossos que li taiaven no més poríen esser de qua-
tre dits, i si es verduc volía pendre poc es banyons,
manco volía pendre ses banyes. N'hi llevaren
d' estelles fins que veren gens de rabacell.

Aquell malanat bé flastomava, bé maleia, bé
bramulava, bé'n feia d'esquerevits i d'estufor-
nos, però ets altres, lluny de compatir-se 'n gens,

li movíen una lulea escandalosa, i s' hi devertíen
per llarg.

Com prou rebumbori hagueren tet, un exclamà:

—iAixí meteix es gros, ben mirat, que dins tan
poc temps aquells dos traginers se síen composts, /
i hi haja hagut qui desembossàs sa font i qui curàs
sa fía del Reil

—iSí que hu es ben grosl clamaren tots. el
que hu diguéreu a ningú voltrosP demanaren a
s'escoat, a s' esnassat i a S' escornat.

TT Q)
És 7
",NA
30,"20 RONDAIES MALLORQUINES

—iTan mal a pler hauría tenguda jo aquella
coa meuaP diu es primer, taiant claus.

—eTan avorrit hauría tengut jo es meu gran
nas2 diu es segón, tent sa fel.

—eEncara 'm vendreu amb aquestes2 diu es de-
rrer enviant-los a mal viatge.

Aquí tots romperen dient:

—é Com pot esser, idò, que mos hagen sabut dar
aquest perboc2 éCom pot esser estat2 dQui dimo-
ni serà estat

A la fi un qui treia una cara de taia-nassos lo
més an el viu, digué:

—iEn no esser que hi hagués qualcú amagat
per aquí, i que s' altre vespre mos sentísi

—iRegoneixeu per tot, més que depressal cridà
Satanús, fent flamada.

—iAquesta Sí que m' es brutal diu En Lau, com
el sent. iNo hi ha remeil jestic llestl jja no 'm faré
altrel ijmés me 'n meresc per bestil

S' animal no sabía aont s' havía de posar.

Mentres tant es dimonis regoneixíen tots es re-
cons i entonys de sa cova, tots es clapers, totes
ses mates i matul'los de per allà. Cuidaren a cau-
re morts cercant, i no veien fressa de res.

A la fi un diu:

—jEn no esser que sía devall sa campanal

S' hi aborden una partida i l' alçen en pes.

Encara no le tengueren alta, com En Lau pega
enforinyada p' es mig de ses cames des dimonis,
i com cent mil llamps jcametes me valguenl per
avall, i es dimonis derrera ell, carrera uberta, i ell
que se pegava amb sos talons per ses anques, i
ihala petits, aquesta es teua, aquesta es meual i
desiara que ja li arribaven amb ses ungles per ses
",NA
31,"dVAL MÉS MATINETJAR QUE A MISSA ANARP2 21
cuixes i s' escarpó, i ara li prenien un tros de
camía, i suara un esqueix de calçons, i qualque
escarrinxada per sa pell. Però no l' arribaven a
aturar mai, perque l' homo e-hu feia de tot, però
de tot, i ells eren molts i s' embuiaven, engan-
xant-se es banyams uns amb altres, i terint-se dins
els uis amb ses revinglades de coa.

A la tí En Lau afina un banc de beies (1), i plaf
S' atica dins una caera, que justament fou buida, i
amb sa meteixa seguida posa es fonell que havía
llevat. Tots es dimonis s' aborden a sa caera, cri-
dant: ija es nostrol ija es nostrol Però se topen
amb sa creu des fonell (z), i no vos dic res: com
se temen de sa creu, s' espitxen com a llamps, un
per un vent, s'altre per s' altre, fent-se trons de
En Lau i de qui pregava per ell. Amb una exha-
lació no 'n veren la pols.

Des cap d'una estoneta passen un parei de ta-

— — drinots que veníen d'un ball, més llépols que ses
serps. Veuen es banc de beies, i un diu:
——eQue mos ne duim una caera d'aquestes, i
mos atiparem de mel, que es tan saborosa2

—iSí que has pensat bel diuen els altres.

—iNo, i mos hem d' aterrar amb sa més teixu-
gal jiSa questió es molta de mell

Dit i tet, s acosten an es banc, i sospesa qui
sospesa caeres, arriben a sa d' En Lau.

—iAquesta es sa bonal esclamen tots. jiSí que

(1) Partida de caeres una al costat de l'altre, a vegades fent dos
sostres, amb teules demunt per que no 's banyin.

(2) El fonell es una rol'lana de marès, amb que se tapen les caeres
a cada cap. Com les caeres no solen esser ben redones, el fonell, per
que tap, l' han de fer que hi venga bé. Com el tenen ajustat, li fan una
creu que tenga un crever vertical així com ha d'estar la caera. Retgint-
se amb aquesta creu, el fonell es aviat de posar i llevar.
",NA
32,"22 RONDAIES MALLORQUINES
hu es sa més plenal iSí que hi deven estar ben
paradades ses bresquesi

eQue me 'n direu2 Ell se posen aquella caera an
es coll, i de d' allà.

—iBonol digué En Lau, jell ja hi tornam esser
a bousi jPobres costelletes meues, en destapar

aquests sa caera iSerà ferestl
L' homo amb so retgiró des dimonis havía fet
dins es calçons, i amb so que li entrà de bell nou,
e-hi va fer més. Amb ses satsades que sa caera
pegava la cosa comença a regalimar... Aquells
qui duien senten homit demunt s' espal'la, i veuen
que cauen degotiços de cap a cap.

—j Es cotril diuen tots, iveiès si Son berbes sa
mel que duimt jell ses bresques ja ratgen a la velal

Aquí es més llépoll de tots veu un ratjolí que

comença a caure: para Sa mà, i la se du a sa boca
com un rabiós.

Encara no le hi tengué, com ja hu va haver

. escopit, i escup qui escup, no s' aturava de dir:

—j Ecl ire cent mil dimonisl... jjecli

—el a sa mel dius ec2 clamen ets altres.

—iBona casta de mell deia l' homo. jiMerda
es ellt...

Aquells ensumen, tasten, i veuen que hu es.

No 'n taiaren pus. Allà devora hi havía un
grandiós romagueral: e-hi tiren sa caera amb tota
sa força, i e-hu donen a ses cames, perque ja era
auba clara, i tenien por de ter falta a sa possessió
aont estaven llogats. :

Aquell romagueral cubría tot un comallar fondo.
Sa caera va pendre es rost, i redola qui redola per
demunt timbes, penyals, romaguers, argelagues
i garanyoners. Í al punt ja no va esser sa caera
",NA
33,"dVAL MÉS MATINETJAR QUE A MISSA ANARP 23
qui redolà, perque sa feu benes: qui redolà fou En
Lau tins an es fons des barranc. Com s' aturà no
tenía tesomía d' homo: breverols p'es cap, traus
per sa cara, escarrinxades d' un forc per s' es-

quena, per sa panxa, per ses cames, es dos bra-
ços cedats, ses rol'lanes des genois i es peus fora
des lloc, cops blaus i pues aticades per tot el cos,
tot ratjant sang.

Així com pogué, s' arribà a aixecar. Coixeu coi-
xeu i de la banda de la banda, arriba a ca-seua, i
s' hagué de jeure.

Envía a demanar En Xesc, li conta lo que li ha
passat, i li diu: l

. —iVet-aquí aont m' ha duit es no anar a missal
i Som. una bestil ijMés ne merescl

S' arribà a curar de tot, però ja no era es meteix:
matinetjava, això Sí, però també anava a missa
com En Xesc: i encara arribà a alçar xella.

l lell i En Xesc i En Xesc i ell visqueren con-
tents i alegres fins que foren morts.
So'n Monserrat, de Santa María, Juriol de 18697.
l ——
",NA
34,"EN JUANET DE L'ONSO O
——— ma ——
AS era un fadrí vei, tan poc afectat de feina
me COM UN Ca de garrotades, però que. es pe-
daç no li bastava per poder fer la vida del
canot. Duia genoieres com ets ases, era lo més
toixarrut.

Un amic seu li digué:

—Jo, si fos tu, armaría una vaca: te faría un
vadell, que 'l porías vendre, i llavò te mantendría
de llet.

Armà sa vaca, que li va fer un vadell. La me-
nava a pasturar, la monyía, i ivenguen bones es-
cudelles de lletl

: —Sobre tot, arribà a dir ell, jo faç hora per
llego, estic com un patriarca. Me pens que enca-
ra em convendría casar-me.

Cercà una al'lota jove, ben jove, i S' hi casa.

Es meteix día de casats, l'envia a pasturar sa
vaca.

(1) La'm contaren: n' Antonina Cordera, el sen Toni Nebot Leu, i el
sen Gaspar Busquets, de So 'n Servera, En Toni Garrit i N' Elisabeth
Riera de Sant Llorenç des Cardessar, D.' Francisqueta Dameto i Ros-
sinyol, de la Ciutat de Mallorca, i N' Antonina Canyelles de Bunyola, i
madó Margalida de Ca'n Xeu d' Estallenchs.
",NA
35,"EN JUANET DE L' ONSO 25

S' al'lota no s' hi era vista mai, i la perd dins un
uiastrar.

Cerca qui cerca, no la pogué trobar en via nin-
guna. , :

Se 'n va tota desconsolada a ca-seua: i, com es
seu homo la sent, li diu: /

—el has tenguda cara per venir-te 'n sensa sa
vaca: iToca, toca, ara meteix a cercar-lal i ino
torns que no la mensi

La pobreta no tengué més remei que pendre 's
tapinets cap an aquell uiastrar, plora qui plora.

Li surt un onso, i la se'n du dins una cova,
sensa malmenar-la gens, fent-li afalagadures.

Tot d' una que foren dins sa cova, tapa sa boca
amb una gran pedra, que no hi havía cap persona
nada que la pogués moure.

l passà aquella nit, i un día i un altre día, i una
setmana, i un més i un altre més, i aquella al'lota
sempre dins sa cova.

S'onso cada día se'n anava a fer volta per
dur-li que menjar, però sempre deixava sa boca
de sa cova tapada amb sa gran pedra, i no hi ha-
vía que pensar de togir.

Des cap de temps ella tengué un nin.

i Vaja quin nin més gros i més abrinatl

Com feu set anys diu a sa mare, un día que
S' onso no hi era.

—el sempre hem d' estar dins aquesta cova

—Fins que s' onso vulga, tii meu.

—No i jo ja començ a estar-ne cançat.

—idò t hauràs de quedar amb so cançament,
perque veiam: com se 'n va, sempre deixa sa boca
tapada amb aquesta pedrota.

—el si la decantàvem2
",NA
